Lot/Order ID,AM or PM,Browser Info,Company,Fabric Type,Material Composition,Color/Pattern,Quantity (Meters),Price per Meter,Credit Card,CC Exp Date,CC Security Code,CC Provider,Email,IP Address,Language,Purchase Price,Shipping Address
754 - 216739,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,EcoWeave Fashion LLC,Linen Blend,55% Linen / 45% Cotton,Navy Blue,904.44,14.2,2181960013389083,12/31,818,Discover,purchasing@ecoweavefashionllc.com,219.3.81.179,es,12843.05,"5674 Industrial Pkwy, Suite 152, Textile City, TX 76273"
320 - 900581,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Stitch & Thread Co. Partners,Linen Blend,55% Linen / 45% Cotton,Charcoal Grey,1478.57,14.2,1559407816184959,04/31,171,Visa,purchasing@stitchandthreadco.partners.com,230.119.51.98,fr,20995.69,"7528 Industrial Pkwy, Suite 335, Textile City, TX 77988"
266 - 488162,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Luxe Garments Group,Linen Blend,55% Linen / 45% Cotton,Navy Blue,623.67,14.2,9283276483503056,05/26,316,American Express,purchasing@luxegarmentsgroup.com,176.234.73.68,de,8856.11,"4140 Industrial Pkwy, Suite 391, Textile City, TX 79598"
651 - 375504,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Urban Outfitters Inc. LLC,Silk Satin,100% Mulberry Silk,Olive Green,1138.77,45.0,2871012269166978,05/30,981,Visa,purchasing@urbanoutfittersinc.llc.com,208.174.57.76,es,51244.65,"2691 Industrial Pkwy, Suite 242, Textile City, TX 75026"
839 - 854639,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Elite Fabrics Group,Velvet,100% Rayon,Off-White,174.2,22.0,4893252880957015,05/27,159,Mastercard,purchasing@elitefabricsgroup.com,136.35.64.33,it,3832.4,"7887 Industrial Pkwy, Suite 494, Textile City, TX 79503"
269 - 377932,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Elite Fabrics LLC,Linen Blend,55% Linen / 45% Cotton,Off-White,1362.86,14.2,4657871331509839,04/26,172,Visa,purchasing@elitefabricsllc.com,232.169.36.132,de,19352.61,"4662 Industrial Pkwy, Suite 352, Textile City, TX 78976"
319 - 665427,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",EcoWeave Fashion Partners,Organic Cotton,100% Organic Cotton,Blush Pink,316.06,8.75,6311656670106513,04/27,649,Discover,purchasing@ecoweavefashionpartners.com,130.127.38.114,zh,2765.53,"1704 Industrial Pkwy, Suite 35, Textile City, TX 79428"
956 - 115474,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Vogue Trends Ltd Partners,Velvet,100% Rayon,Olive Green,138.39,22.0,7736026064746872,04/28,322,Visa,purchasing@voguetrendsltdpartners.com,92.29.25.150,es,3044.58,"8338 Industrial Pkwy, Suite 480, Textile City, TX 79350"
261 - 159642,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Stitch & Thread Co. Group,Linen Blend,55% Linen / 45% Cotton,Charcoal Grey,623.89,14.2,3619399091699854,04/31,833,American Express,purchasing@stitchandthreadco.group.com,183.153.234.81,en,8859.24,"252 Industrial Pkwy, Suite 244, Textile City, TX 79612"
202 - 176819,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Vogue Trends Ltd Inc,Merino Wool,100% Merino Wool,Charcoal Grey,927.0,35.0,1354278498084124,02/26,860,Mastercard,purchasing@voguetrendsltdinc.com,195.175.104.176,it,32445.0,"4425 Industrial Pkwy, Suite 268, Textile City, TX 79002"
